Model,PCA,pi,lambda,C,gamma,G0,G1,Accuracy,Error rate,minDCF
Quadratic SVM,8,_,_,0.10000,0.00010,_,_,85.677,14.323,0.28957
Quadratic SVM,8,_,_,0.10000,0.00100,_,_,85.677,14.323,0.28957
Quadratic SVM,8,_,_,0.10000,0.01000,_,_,85.677,14.323,0.28957
Quadratic SVM,8,_,_,0.10000,0.10000,_,_,85.677,14.323,0.28957
Quadratic SVM,8,_,_,0.10000,1.00000,_,_,85.677,14.323,0.28957
Quadratic SVM,0,_,_,0.00010,0.00010,_,_,95.183,4.817,0.28988
Quadratic SVM,0,_,_,0.00010,0.00100,_,_,95.183,4.817,0.28988
Quadratic SVM,0,_,_,0.00010,0.01000,_,_,95.183,4.817,0.28988
Quadratic SVM,0,_,_,0.00010,0.10000,_,_,95.183,4.817,0.28988
Quadratic SVM,0,_,_,0.00010,1.00000,_,_,95.183,4.817,0.28988
Quadratic Logistic Regression,0,0.500,0.1000000,_,_,_,_,95.742,4.258,0.29020
Polynomial Kernel SVM,8,_,_,0.00010,0.00010,_,_,95.226,4.774,0.29082
Polynomial Kernel SVM,8,_,_,0.00010,0.00100,_,_,95.226,4.774,0.29082
Polynomial Kernel SVM,8,_,_,0.00010,0.01000,_,_,95.226,4.774,0.29082
Polynomial Kernel SVM,8,_,_,0.00010,0.10000,_,_,95.226,4.774,0.29082
Polynomial Kernel SVM,8,_,_,0.00010,1.00000,_,_,95.226,4.774,0.29082
GMM Full Covariance,7,_,_,_,_,4,1,93.634,6.366,0.29113
Quadratic SVM,8,_,_,0.00100,0.00010,_,_,95.140,4.860,0.29115
Quadratic SVM,8,_,_,0.00100,0.00100,_,_,95.140,4.860,0.29115
Quadratic SVM,8,_,_,0.00100,0.01000,_,_,95.140,4.860,0.29115
Quadratic SVM,8,_,_,0.00100,0.10000,_,_,95.140,4.860,0.29115
Quadratic SVM,8,_,_,0.00100,1.00000,_,_,95.140,4.860,0.29115
Radial Basis Function Kernel SVM,5,_,_,0.01000,1.00000,_,_,65.591,34.409,0.29121
Radial Basis Function Kernel SVM,5,_,_,0.10000,1.00000,_,_,65.591,34.409,0.29121
Polynomial Kernel SVM,0,_,_,0.10000,0.00010,_,_,85.591,14.409,0.29180
Polynomial Kernel SVM,0,_,_,0.10000,0.00100,_,_,85.591,14.409,0.29180
Polynomial Kernel SVM,0,_,_,0.10000,0.01000,_,_,85.591,14.409,0.29180
Polynomial Kernel SVM,0,_,_,0.10000,0.10000,_,_,85.591,14.409,0.29180
Polynomial Kernel SVM,0,_,_,0.10000,1.00000,_,_,85.591,14.409,0.29180
Radial Basis Function Kernel SVM,5,_,_,0.00010,1.00000,_,_,65.591,34.409,0.29215
Quadratic Logistic Regression,6,0.500,0.1000000,_,_,_,_,95.398,4.602,0.29238
Quadratic SVM,7,_,_,0.00100,0.00010,_,_,95.183,4.817,0.29240
Quadratic SVM,7,_,_,0.00100,0.00100,_,_,95.183,4.817,0.29240
Quadratic SVM,7,_,_,0.00100,0.01000,_,_,95.183,4.817,0.29240
Quadratic SVM,7,_,_,0.00100,0.10000,_,_,95.183,4.817,0.29240
Quadratic SVM,7,_,_,0.00100,1.00000,_,_,95.183,4.817,0.29240
Polynomial Kernel SVM,5,_,_,0.00100,0.00010,_,_,94.839,5.161,0.29301
Polynomial Kernel SVM,5,_,_,0.00100,0.00100,_,_,94.839,5.161,0.29301
Polynomial Kernel SVM,5,_,_,0.00100,0.01000,_,_,94.839,5.161,0.29301
Polynomial Kernel SVM,5,_,_,0.00100,0.10000,_,_,94.839,5.161,0.29301
Polynomial Kernel SVM,5,_,_,0.00100,1.00000,_,_,94.839,5.161,0.29301
GMM Full Covariance,6,_,_,_,_,8,1,93.677,6.323,0.29334
Quadratic SVM,9,_,_,0.10000,0.00010,_,_,85.763,14.237,0.29363
Quadratic SVM,9,_,_,0.10000,0.00100,_,_,85.763,14.237,0.29363
Quadratic SVM,9,_,_,0.10000,0.01000,_,_,85.763,14.237,0.29363
Quadratic SVM,9,_,_,0.10000,0.10000,_,_,85.763,14.237,0.29363
Quadratic SVM,9,_,_,0.10000,1.00000,_,_,85.763,14.237,0.29363
GMM Full Covariance,8,_,_,_,_,4,1,93.505,6.495,0.29363
Polynomial Kernel SVM,9,_,_,0.00010,0.00010,_,_,95.097,4.903,0.29365
Polynomial Kernel SVM,9,_,_,0.00010,0.00100,_,_,95.097,4.903,0.29365
Polynomial Kernel SVM,9,_,_,0.00010,0.01000,_,_,95.097,4.903,0.29365
Polynomial Kernel SVM,9,_,_,0.00010,0.10000,_,_,95.097,4.903,0.29365
Polynomial Kernel SVM,9,_,_,0.00010,1.00000,_,_,95.097,4.903,0.29365
Quadratic SVM,5,_,_,0.10000,0.00010,_,_,86.839,13.161,0.29395
Quadratic SVM,5,_,_,0.10000,0.00100,_,_,86.839,13.161,0.29395
Quadratic SVM,5,_,_,0.10000,0.01000,_,_,86.839,13.161,0.29395
Quadratic SVM,5,_,_,0.10000,0.10000,_,_,86.839,13.161,0.29395
Quadratic SVM,5,_,_,0.10000,1.00000,_,_,86.839,13.161,0.29395
GMM Full Covariance,5,_,_,_,_,4,1,93.634,6.366,0.29395
Quadratic SVM,7,_,_,0.00010,0.00010,_,_,95.140,4.860,0.29426
Quadratic SVM,7,_,_,0.00010,0.00100,_,_,95.140,4.860,0.29426
Quadratic SVM,7,_,_,0.00010,0.01000,_,_,95.140,4.860,0.29426
Quadratic SVM,7,_,_,0.00010,0.10000,_,_,95.140,4.860,0.29426
Quadratic SVM,7,_,_,0.00010,1.00000,_,_,95.140,4.860,0.29426
Polynomial Kernel SVM,0,_,_,0.00010,0.00010,_,_,95.226,4.774,0.29486
Polynomial Kernel SVM,0,_,_,0.00010,0.00100,_,_,95.226,4.774,0.29486
Polynomial Kernel SVM,0,_,_,0.00010,0.01000,_,_,95.226,4.774,0.29486
Polynomial Kernel SVM,0,_,_,0.00010,0.10000,_,_,95.226,4.774,0.29486
Polynomial Kernel SVM,0,_,_,0.00010,1.00000,_,_,95.226,4.774,0.29486
Radial Basis Function Kernel SVM,6,_,_,0.10000,0.01000,_,_,95.398,4.602,0.29516
Quadratic Logistic Regression,7,0.500,0.1000000,_,_,_,_,95.398,4.602,0.29613
Quadratic SVM,9,_,_,0.00010,0.00010,_,_,94.968,5.032,0.29676
Quadratic SVM,9,_,_,0.00010,0.00100,_,_,94.968,5.032,0.29676
Quadratic SVM,9,_,_,0.00010,0.01000,_,_,94.968,5.032,0.29676
Quadratic SVM,9,_,_,0.00010,0.10000,_,_,94.968,5.032,0.29676
Quadratic SVM,9,_,_,0.00010,1.00000,_,_,94.968,5.032,0.29676
Polynomial Kernel SVM,5,_,_,0.00010,0.00010,_,_,94.925,5.075,0.29801
Polynomial Kernel SVM,5,_,_,0.00010,0.00100,_,_,94.925,5.075,0.29801
Polynomial Kernel SVM,5,_,_,0.00010,0.01000,_,_,94.925,5.075,0.29801
Polynomial Kernel SVM,5,_,_,0.00010,0.10000,_,_,94.925,5.075,0.29801
Polynomial Kernel SVM,5,_,_,0.00010,1.00000,_,_,94.925,5.075,0.29801
Radial Basis Function Kernel SVM,6,_,_,0.10000,0.00100,_,_,94.710,5.290,0.29895
Quadratic Logistic Regression,8,0.500,0.1000000,_,_,_,_,95.441,4.559,0.29959
Radial Basis Function Kernel SVM,6,_,_,0.00100,1.00000,_,_,65.591,34.409,0.30061
GMM Full Covariance,9,_,_,_,_,4,1,93.763,6.237,0.30145
GMM Full Covariance,7,_,_,_,_,8,1,93.634,6.366,0.30178
Radial Basis Function Kernel SVM,6,_,_,0.01000,1.00000,_,_,65.591,34.409,0.30186
Radial Basis Function Kernel SVM,6,_,_,0.10000,1.00000,_,_,65.591,34.409,0.30186
Quadratic SVM,5,_,_,0.00100,0.00010,_,_,94.925,5.075,0.30207
Quadratic SVM,5,_,_,0.00100,0.00100,_,_,94.925,5.075,0.30207
Quadratic SVM,5,_,_,0.00100,0.01000,_,_,94.925,5.075,0.30207
Quadratic SVM,5,_,_,0.00100,0.10000,_,_,94.925,5.075,0.30207
Quadratic SVM,5,_,_,0.00100,1.00000,_,_,94.925,5.075,0.30207
GMM Tied Covariance,9,_,_,_,_,4,1,93.376,6.624,0.30240
Radial Basis Function Kernel SVM,0,_,_,0.00010,0.10000,_,_,65.591,34.409,0.30279
Radial Basis Function Kernel SVM,6,_,_,0.00010,1.00000,_,_,65.591,34.409,0.30311
GMM Full Covariance,6,_,_,_,_,4,1,93.591,6.409,0.30428
Polynomial Kernel SVM,9,_,_,0.10000,0.00010,_,_,84.387,15.613,0.30549
Polynomial Kernel SVM,9,_,_,0.10000,0.00100,_,_,84.387,15.613,0.30549
Polynomial Kernel SVM,9,_,_,0.10000,0.01000,_,_,84.387,15.613,0.30549
Polynomial Kernel SVM,9,_,_,0.10000,0.10000,_,_,84.387,15.613,0.30549
Polynomial Kernel SVM,9,_,_,0.10000,1.00000,_,_,84.387,15.613,0.30549
GMM Tied Covariance,8,_,_,_,_,4,1,93.290,6.710,0.30551
GMM Full Covariance,0,_,_,_,_,4,1,93.763,6.237,0.30553
Radial Basis Function Kernel SVM,6,_,_,1.00000,1.00000,_,_,86.280,13.720,0.30811
Radial Basis Function Kernel SVM,7,_,_,0.10000,0.00100,_,_,94.667,5.333,0.30895
Radial Basis Function Kernel SVM,5,_,_,0.10000,0.01000,_,_,95.398,4.602,0.30990
Quadratic Logistic Regression,0,0.500,1.0000000,_,_,_,_,95.699,4.301,0.31045
Quadratic Logistic Regression,5,0.500,0.1000000,_,_,_,_,95.398,4.602,0.31082
Radial Basis Function Kernel SVM,8,_,_,0.10000,0.00100,_,_,94.280,5.720,0.31084
GMM Tied Covariance,0,_,_,_,_,4,1,93.634,6.366,0.31086
Quadratic Logistic Regression,9,0.500,1.0000000,_,_,_,_,95.699,4.301,0.31457
Quadratic SVM,5,_,_,0.00010,0.00010,_,_,94.839,5.161,0.31488
Quadratic SVM,5,_,_,0.00010,0.00100,_,_,94.839,5.161,0.31488
Quadratic SVM,5,_,_,0.00010,0.01000,_,_,94.839,5.161,0.31488
Quadratic SVM,5,_,_,0.00010,0.10000,_,_,94.839,5.161,0.31488
Quadratic SVM,5,_,_,0.00010,1.00000,_,_,94.839,5.161,0.31488
Radial Basis Function Kernel SVM,7,_,_,0.01000,1.00000,_,_,65.591,34.409,0.32059
Radial Basis Function Kernel SVM,7,_,_,1.00000,1.00000,_,_,86.280,13.720,0.32059
GMM Tied Covariance,6,_,_,_,_,4,1,93.634,6.366,0.32145
GMM Tied Covariance,7,_,_,_,_,4,1,93.333,6.667,0.32176
Radial Basis Function Kernel SVM,7,_,_,0.10000,1.00000,_,_,65.591,34.409,0.32184
Radial Basis Function Kernel SVM,9,_,_,0.10000,0.00100,_,_,94.022,5.978,0.32268
Radial Basis Function Kernel SVM,7,_,_,0.00100,1.00000,_,_,65.591,34.409,0.32309
Quadratic Logistic Regression,6,0.500,1.0000000,_,_,_,_,95.355,4.645,0.32391
MVG,0,0.500,_,_,_,_,_,94.452,5.548,0.32492
Radial Basis Function Kernel SVM,7,_,_,0.10000,0.01000,_,_,94.839,5.161,0.32578
Quadratic Logistic Regression,7,0.500,1.0000000,_,_,_,_,95.355,4.645,0.32611
Quadratic Logistic Regression,0,0.500,10.0000000,_,_,_,_,95.484,4.516,0.32703
Radial Basis Function Kernel SVM,0,_,_,0.10000,0.00100,_,_,94.409,5.591,0.32797
MVG,6,0.500,_,_,_,_,_,94.366,5.634,0.32801
MVG,8,0.500,_,_,_,_,_,94.409,5.591,0.32961
Radial Basis Function Kernel SVM,5,_,_,0.10000,0.00100,_,_,94.753,5.247,0.32988
GMM Diagonal Covariance,5,_,_,_,_,8,1,93.720,6.280,0.32992
MVG,7,0.500,_,_,_,_,_,94.366,5.634,0.33020
Radial Basis Function Kernel SVM,8,_,_,0.10000,0.01000,_,_,94.538,5.462,0.33045
Radial Basis Function Kernel SVM,5,_,_,1.00000,1.00000,_,_,86.280,13.720,0.33180
Radial Basis Function Kernel SVM,0,_,_,1.00000,0.10000,_,_,86.280,13.720,0.33215
Radial Basis Function Kernel SVM,7,_,_,0.00010,1.00000,_,_,65.591,34.409,0.33217
GMM Full Covariance,8,_,_,_,_,8,1,93.376,6.624,0.33273
Quadratic Logistic Regression,8,0.500,1.0000000,_,_,_,_,95.441,4.559,0.33393
Quadratic Logistic Regression,6,0.500,10.0000000,_,_,_,_,95.054,4.946,0.33516
MVG,9,0.500,_,_,_,_,_,94.366,5.634,0.33742
Quadratic Logistic Regression,7,0.500,10.0000000,_,_,_,_,94.968,5.032,0.33797
Quadratic Logistic Regression,8,0.500,10.0000000,_,_,_,_,95.226,4.774,0.33984
GMM Diagonal Covariance,9,_,_,_,_,4,1,92.645,7.355,0.34018
Quadratic Logistic Regression,9,0.500,10.0000000,_,_,_,_,95.441,4.559,0.34045
GMM Full Covariance,5,_,_,_,_,8,1,93.548,6.452,0.34051
Radial Basis Function Kernel SVM,8,_,_,1.00000,1.00000,_,_,86.280,13.720,0.34061
GMM Diagonal Covariance,8,_,_,_,_,4,1,92.602,7.398,0.34113
GMM Diagonal Covariance,6,_,_,_,_,4,1,92.559,7.441,0.34113
Radial Basis Function Kernel SVM,9,_,_,0.10000,0.01000,_,_,93.548,6.452,0.34332
GMM Diagonal Covariance,7,_,_,_,_,4,1,92.559,7.441,0.34424
Polynomial Kernel SVM,5,_,_,0.10000,0.00010,_,_,83.656,16.344,0.34799
Polynomial Kernel SVM,5,_,_,0.10000,0.00100,_,_,83.656,16.344,0.34799
Polynomial Kernel SVM,5,_,_,0.10000,0.01000,_,_,83.656,16.344,0.34799
Polynomial Kernel SVM,5,_,_,0.10000,0.10000,_,_,83.656,16.344,0.34799
Polynomial Kernel SVM,5,_,_,0.10000,1.00000,_,_,83.656,16.344,0.34799
GMM Diagonal Covariance,9,_,_,_,_,8,1,93.591,6.409,0.34801
Quadratic Logistic Regression,5,0.500,1.0000000,_,_,_,_,95.269,4.731,0.34889
GMM Tied Diagonal Covariance,6,_,_,_,_,4,1,93.247,6.753,0.34893
Radial Basis Function Kernel SVM,8,_,_,0.10000,1.00000,_,_,65.591,34.409,0.34967
GMM Tied Diagonal Covariance,9,_,_,_,_,4,1,93.290,6.710,0.34988
GMM Tied Diagonal Covariance,8,_,_,_,_,4,1,93.290,6.710,0.34988
GMM Tied Covariance,5,_,_,_,_,4,1,93.247,6.753,0.35023
GMM Tied Diagonal Covariance,7,_,_,_,_,4,1,93.204,6.796,0.35238
Radial Basis Function Kernel SVM,0,_,_,0.10000,0.01000,_,_,92.731,7.269,0.35330
GMM Diagonal Covariance,5,_,_,_,_,4,1,92.473,7.527,0.35428
Quadratic Logistic Regression,0,0.500,100.0000000,_,_,_,_,95.097,4.903,0.35545
GMM Tied Covariance,9,_,_,_,_,8,1,92.946,7.054,0.35553
Quadratic Logistic Regression,7,0.500,100.0000000,_,_,_,_,94.710,5.290,0.35578
Quadratic Logistic Regression,8,0.500,100.0000000,_,_,_,_,94.882,5.118,0.35703
GMM Tied Diagonal Covariance,5,_,_,_,_,4,1,93.161,6.839,0.35775
MVG,5,0.500,_,_,_,_,_,94.323,5.677,0.35836
GMM Tied Covariance,0,_,_,_,_,8,1,92.860,7.140,0.35928
Radial Basis Function Kernel SVM,8,_,_,0.01000,1.00000,_,_,65.591,34.409,0.36000
Quadratic Logistic Regression,9,0.500,100.0000000,_,_,_,_,94.968,5.032,0.36012
Quadratic Logistic Regression,5,0.500,10.0000000,_,_,_,_,94.796,5.204,0.36045
Quadratic Logistic Regression,6,0.500,100.0000000,_,_,_,_,94.710,5.290,0.36109
GMM Diagonal Covariance,8,_,_,_,_,8,1,93.634,6.366,0.36117
GMM Tied Covariance,6,_,_,_,_,8,1,93.032,6.968,0.36119
GMM Diagonal Covariance,7,_,_,_,_,8,1,93.548,6.452,0.36305
GMM Diagonal Covariance,6,_,_,_,_,8,1,93.548,6.452,0.36367
GMM Tied Covariance,8,_,_,_,_,8,1,93.118,6.882,0.36393
Radial Basis Function Kernel SVM,8,_,_,0.00100,1.00000,_,_,65.591,34.409,0.36500
Radial Basis Function Kernel SVM,6,_,_,0.00010,0.01000,_,_,65.591,34.409,0.36643
Radial Basis Function Kernel SVM,5,_,_,0.01000,0.01000,_,_,90.538,9.462,0.36674
Radial Basis Function Kernel SVM,6,_,_,0.01000,0.00100,_,_,91.269,8.731,0.36768
Radial Basis Function Kernel SVM,8,_,_,0.00010,1.00000,_,_,65.591,34.409,0.37000
GMM Tied Covariance,7,_,_,_,_,8,1,93.075,6.925,0.37018
Radial Basis Function Kernel SVM,5,_,_,0.01000,0.00100,_,_,91.742,8.258,0.37428
GMM Tied Diagonal Covariance,5,_,_,_,_,8,1,92.731,7.269,0.37580
Radial Basis Function Kernel SVM,5,_,_,0.00010,0.01000,_,_,65.591,34.409,0.37582
GMM Full Covariance,0,_,_,_,_,8,1,93.161,6.839,0.37588
Radial Basis Function Kernel SVM,9,_,_,0.01000,1.00000,_,_,65.591,34.409,0.37625
Naive Bayes,9,0.500,_,_,_,_,_,94.194,5.806,0.37676
Radial Basis Function Kernel SVM,8,_,_,0.01000,0.00100,_,_,90.151,9.849,0.37707
Radial Basis Function Kernel SVM,7,_,_,0.01000,0.00100,_,_,90.667,9.333,0.37900
GMM Full Covariance,9,_,_,_,_,8,1,93.333,6.667,0.37922
Naive Bayes,8,0.500,_,_,_,_,_,94.280,5.720,0.37926
Naive Bayes,7,0.500,_,_,_,_,_,94.323,5.677,0.37959
Radial Basis Function Kernel SVM,0,_,_,0.00010,0.01000,_,_,65.591,34.409,0.38047
Naive Bayes,6,0.500,_,_,_,_,_,94.409,5.591,0.38053
GMM Full Covariance,0,_,_,_,_,2,1,92.215,7.785,0.38084
Radial Basis Function Kernel SVM,6,_,_,0.01000,0.01000,_,_,86.796,13.204,0.38084
Radial Basis Function Kernel SVM,9,_,_,0.00010,1.00000,_,_,65.591,34.409,0.38125
GMM Tied Diagonal Covariance,6,_,_,_,_,8,1,93.161,6.839,0.38172
GMM Tied Diagonal Covariance,9,_,_,_,_,8,1,93.161,6.839,0.38234
GMM Tied Diagonal Covariance,8,_,_,_,_,8,1,93.161,6.839,0.38359
Radial Basis Function Kernel SVM,9,_,_,0.00100,1.00000,_,_,65.591,34.409,0.38375
Polynomial Kernel SVM,0,_,_,1.00000,0.00010,_,_,77.075,22.925,0.38418
Polynomial Kernel SVM,0,_,_,1.00000,0.00100,_,_,77.075,22.925,0.38418
Polynomial Kernel SVM,0,_,_,1.00000,0.01000,_,_,77.075,22.925,0.38418
Polynomial Kernel SVM,0,_,_,1.00000,0.10000,_,_,77.075,22.925,0.38418
Polynomial Kernel SVM,0,_,_,1.00000,1.00000,_,_,77.075,22.925,0.38418
Radial Basis Function Kernel SVM,9,_,_,0.10000,1.00000,_,_,65.591,34.409,0.38500
Radial Basis Function Kernel SVM,9,_,_,1.00000,1.00000,_,_,86.280,13.720,0.38500
GMM Tied Diagonal Covariance,7,_,_,_,_,8,1,93.118,6.882,0.38514
GMM Tied Covariance,5,_,_,_,_,8,1,92.602,7.398,0.38795
Radial Basis Function Kernel SVM,0,_,_,0.00100,1.00000,_,_,65.591,34.409,0.38875
Naive Bayes,5,0.500,_,_,_,_,_,94.495,5.505,0.38959
Radial Basis Function Kernel SVM,0,_,_,0.00010,1.00000,_,_,65.591,34.409,0.39000
Radial Basis Function Kernel SVM,0,_,_,0.01000,1.00000,_,_,65.591,34.409,0.39000
Radial Basis Function Kernel SVM,0,_,_,0.10000,1.00000,_,_,65.591,34.409,0.39000
Radial Basis Function Kernel SVM,0,_,_,1.00000,1.00000,_,_,86.280,13.720,0.39000
Quadratic Logistic Regression,5,0.500,100.0000000,_,_,_,_,94.710,5.290,0.39076
Radial Basis Function Kernel SVM,9,_,_,0.01000,0.00100,_,_,88.903,11.097,0.39268
Radial Basis Function Kernel SVM,7,_,_,0.00010,0.01000,_,_,65.591,34.409,0.39270
Radial Basis Function Kernel SVM,9,_,_,0.00010,0.01000,_,_,65.591,34.409,0.39576
Radial Basis Function Kernel SVM,9,_,_,1.00000,0.00010,_,_,92.774,7.226,0.39678
Radial Basis Function Kernel SVM,8,_,_,0.00010,0.01000,_,_,65.591,34.409,0.39865
Radial Basis Function Kernel SVM,7,_,_,1.00000,0.00010,_,_,93.118,6.882,0.39898
Quadratic SVM,9,_,_,1.00000,0.00010,_,_,84.086,15.914,0.40213
Quadratic SVM,9,_,_,1.00000,0.00100,_,_,84.086,15.914,0.40213
Quadratic SVM,9,_,_,1.00000,0.01000,_,_,84.086,15.914,0.40213
Quadratic SVM,9,_,_,1.00000,0.10000,_,_,84.086,15.914,0.40213
Quadratic SVM,9,_,_,1.00000,1.00000,_,_,84.086,15.914,0.40213
Radial Basis Function Kernel SVM,0,_,_,1.00000,0.00010,_,_,92.774,7.226,0.40242
Radial Basis Function Kernel SVM,5,_,_,0.00100,0.01000,_,_,65.591,34.409,0.40301
GMM Full Covariance,9,_,_,_,_,2,1,92.086,7.914,0.40303
Radial Basis Function Kernel SVM,0,_,_,0.01000,0.00100,_,_,88.258,11.742,0.40332
GMM Full Covariance,6,_,_,_,_,2,1,92.559,7.441,0.40645
GMM Full Covariance,7,_,_,_,_,2,1,92.301,7.699,0.40801
Radial Basis Function Kernel SVM,8,_,_,1.00000,0.00010,_,_,93.161,6.839,0.40836
Radial Basis Function Kernel SVM,6,_,_,0.00100,0.01000,_,_,65.591,34.409,0.40986
GMM Full Covariance,8,_,_,_,_,2,1,92.215,7.785,0.41174
Radial Basis Function Kernel SVM,6,_,_,1.00000,0.00010,_,_,92.903,7.097,0.41619
Radial Basis Function Kernel SVM,7,_,_,0.01000,0.01000,_,_,80.817,19.183,0.41801
Radial Basis Function Kernel SVM,5,_,_,1.00000,0.00010,_,_,92.215,7.785,0.42025
Radial Basis Function Kernel SVM,9,_,_,0.00100,0.01000,_,_,65.591,34.409,0.42982
Radial Basis Function Kernel SVM,7,_,_,0.00100,0.01000,_,_,65.591,34.409,0.43080
Radial Basis Function Kernel SVM,9,_,_,0.01000,0.01000,_,_,69.935,30.065,0.43107
Radial Basis Function Kernel SVM,7,_,_,0.10000,0.00010,_,_,89.763,10.237,0.43336
Radial Basis Function Kernel SVM,9,_,_,0.10000,0.00010,_,_,90.022,9.978,0.43367
Radial Basis Function Kernel SVM,0,_,_,0.00100,0.01000,_,_,65.591,34.409,0.43486
Radial Basis Function Kernel SVM,8,_,_,0.10000,0.00010,_,_,89.892,10.108,0.43492
Radial Basis Function Kernel SVM,0,_,_,0.00010,0.00100,_,_,65.591,34.409,0.43676
Radial Basis Function Kernel SVM,5,_,_,0.10000,0.00010,_,_,89.806,10.194,0.43680
Radial Basis Function Kernel SVM,0,_,_,0.10000,0.00010,_,_,89.892,10.108,0.43711
Radial Basis Function Kernel SVM,0,_,_,0.01000,0.01000,_,_,67.097,32.903,0.43863
Radial Basis Function Kernel SVM,7,_,_,0.00010,0.00100,_,_,65.591,34.409,0.43926
Radial Basis Function Kernel SVM,8,_,_,0.00100,0.01000,_,_,65.591,34.409,0.43955
Radial Basis Function Kernel SVM,8,_,_,0.01000,0.01000,_,_,74.538,25.462,0.43982
Radial Basis Function Kernel SVM,6,_,_,0.10000,0.00010,_,_,89.720,10.280,0.44117
Radial Basis Function Kernel SVM,6,_,_,0.00010,0.00100,_,_,65.591,34.409,0.44240
GMM Full Covariance,5,_,_,_,_,2,1,91.785,8.215,0.44459
Radial Basis Function Kernel SVM,8,_,_,0.00010,0.00100,_,_,65.591,34.409,0.44740
Linear SVM,6,_,_,0.01000,0.00010,_,_,91.097,8.903,0.45555
Linear SVM,6,_,_,0.01000,0.00100,_,_,91.097,8.903,0.45555
Linear SVM,6,_,_,0.01000,0.01000,_,_,91.097,8.903,0.45555
Linear SVM,6,_,_,0.01000,0.10000,_,_,91.097,8.903,0.45555
Linear SVM,6,_,_,0.01000,1.00000,_,_,91.097,8.903,0.45555
Radial Basis Function Kernel SVM,5,_,_,0.00010,0.00100,_,_,65.591,34.409,0.45617
Radial Basis Function Kernel SVM,8,_,_,0.00100,0.00100,_,_,65.591,34.409,0.46012
Radial Basis Function Kernel SVM,7,_,_,0.00100,0.00100,_,_,65.591,34.409,0.46238
Linear SVM,7,_,_,0.01000,0.00010,_,_,90.968,9.032,0.46305
Linear SVM,7,_,_,0.01000,0.00100,_,_,90.968,9.032,0.46305
Linear SVM,7,_,_,0.01000,0.01000,_,_,90.968,9.032,0.46305
Linear SVM,7,_,_,0.01000,0.10000,_,_,90.968,9.032,0.46305
Linear SVM,7,_,_,0.01000,1.00000,_,_,90.968,9.032,0.46305
GMM Tied Covariance,0,_,_,_,_,2,1,91.699,8.301,0.46326
Radial Basis Function Kernel SVM,9,_,_,0.00100,0.00100,_,_,65.591,34.409,0.46326
Radial Basis Function Kernel SVM,6,_,_,0.00100,0.00100,_,_,65.591,34.409,0.46547
GMM Tied Covariance,9,_,_,_,_,2,1,91.656,8.344,0.46584
GMM Diagonal Covariance,8,_,_,_,_,2,1,91.226,8.774,0.46613
GMM Diagonal Covariance,7,_,_,_,_,2,1,91.226,8.774,0.46613
GMM Diagonal Covariance,9,_,_,_,_,2,1,91.183,8.817,0.46738
Linear Logistic Regression,0,0.500,0.1000000,_,_,_,_,90.753,9.247,0.46744
Linear Logistic Regression,0,0.500,0.0000010,_,_,_,_,90.796,9.204,0.46775
Linear Logistic Regression,0,0.500,0.0001000,_,_,_,_,90.796,9.204,0.46775
Linear Logistic Regression,0,0.500,0.0010000,_,_,_,_,90.796,9.204,0.46775
Radial Basis Function Kernel SVM,5,_,_,0.00100,0.00100,_,_,65.591,34.409,0.46889
Linear SVM,0,_,_,0.01000,0.00010,_,_,91.011,8.989,0.46900
Linear SVM,0,_,_,0.01000,0.00100,_,_,91.011,8.989,0.46900
Linear SVM,0,_,_,0.01000,0.01000,_,_,91.011,8.989,0.46900
Linear SVM,0,_,_,0.01000,0.10000,_,_,91.011,8.989,0.46900
Linear SVM,0,_,_,0.01000,1.00000,_,_,91.011,8.989,0.46900
Linear SVM,6,_,_,1.00000,0.00010,_,_,91.097,8.903,0.46930
Linear SVM,6,_,_,1.00000,0.00100,_,_,91.097,8.903,0.46930
Linear SVM,6,_,_,1.00000,0.01000,_,_,91.097,8.903,0.46930
Linear SVM,6,_,_,1.00000,0.10000,_,_,91.097,8.903,0.46930
Linear SVM,6,_,_,1.00000,1.00000,_,_,91.097,8.903,0.46930
MVG with tied covariance,8,0.500,_,_,_,_,_,90.839,9.161,0.46961
MVG with tied covariance,7,0.500,_,_,_,_,_,90.882,9.118,0.46992
Linear Logistic Regression,7,0.500,0.1000000,_,_,_,_,90.667,9.333,0.46992
Linear Logistic Regression,6,0.500,0.1000000,_,_,_,_,90.753,9.247,0.47023
Linear SVM,0,_,_,1.00000,0.00010,_,_,91.226,8.774,0.47088
Linear SVM,0,_,_,1.00000,0.00100,_,_,91.226,8.774,0.47088
Linear SVM,0,_,_,1.00000,0.01000,_,_,91.226,8.774,0.47088
Linear SVM,0,_,_,1.00000,0.10000,_,_,91.226,8.774,0.47088
Linear SVM,0,_,_,1.00000,1.00000,_,_,91.226,8.774,0.47088
Naive Bayes,0,0.500,_,_,_,_,_,92.301,7.699,0.47111
GMM Diagonal Covariance,6,_,_,_,_,2,1,91.183,8.817,0.47113
Linear Logistic Regression,6,0.500,0.0000010,_,_,_,_,90.925,9.075,0.47148
Linear Logistic Regression,6,0.500,0.0001000,_,_,_,_,90.925,9.075,0.47148
Linear Logistic Regression,6,0.500,0.0010000,_,_,_,_,90.925,9.075,0.47148
MVG with tied covariance,9,0.500,_,_,_,_,_,90.882,9.118,0.47211
